theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
Music Sharing,1700.0,104.0,0.4794798235294118,0.5574,0.3529000590482368,80.17647058823529,14.823529411764705,5.0
Peer Music,635.0,90.0,0.45513511811023627,0.5023,0.3677544862914469,78.4251968503937,14.803149606299213,6.771653543307086
Algorithms,650.0,86.0,0.4143838461538462,0.4404,0.3597367212688359,73.53846153846155,21.23076923076923,5.230769230769231
Computer Music,607.0,98.0,0.39682174629324546,0.4588,0.3859647831729609,74.2998352553542,15.815485996705107,9.884678747940692
