theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
Music Sharing,1105.0,63.0,0.470710407239819,0.539,0.3585243730349019,79.63800904977376,14.841628959276019,5.520361990950226
Peer Music,386.0,52.0,0.4646018134715026,0.5423,0.35783207332211225,79.53367875647669,14.507772020725387,5.958549222797927
Computer Music,353.0,59.0,0.4029339943342776,0.4779,0.3925458769224682,75.3541076487252,13.314447592067987,11.3314447592068
Algorithms,415.0,55.0,0.3987110843373494,0.4201,0.36957393541966,73.01204819277109,20.240963855421686,6.746987951807229
