participant_id,theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
V1B21E,Algorithms,21.0,1.0,0.25939999999999996,0.3041,0.3833816336237301,52.38095238095239,33.33333333333333,14.285714285714285
IF5UTV,Algorithms,5.0,1.0,0.24500000000000002,0.0534,0.6935982158281551,60.0,20.0,20.0
OSF8B7,Algorithms,16.0,1.0,0.21755000000000002,0.3612,0.26324677142686226,62.5,25.0,12.5
X1QQ4F,Algorithms,9.0,1.0,0.19711111111111113,0.0,0.26936128361572514,44.44444444444444,44.44444444444444,11.11111111111111
1MM3K9,Algorithms,6.0,1.0,0.19431666666666667,0.0,0.332100505369484,33.33333333333333,66.66666666666666,0.0
7V6SPY,Algorithms,11.0,1.0,0.15497272727272726,0.1154,0.43231133940924815,54.54545454545454,27.27272727272727,18.181818181818183
IQLWA6,Algorithms,5.0,1.0,0.06254,0.0,0.3060628987642899,20.0,60.0,20.0
Q71QCH,Algorithms,1.0,1.0,0.0,0.0,,0.0,100.0,0.0
7D8BPD,Computer Music,4.0,1.0,0.8465499999999999,0.86015,0.03625267806199516,100.0,0.0,0.0
V47GRV,Computer Music,1.0,1.0,0.7506,0.7506,,100.0,0.0,0.0
5F2WAZ,Computer Music,4.0,1.0,0.742325,0.83445,0.2514922049819172,100.0,0.0,0.0
JBNB4U,Computer Music,4.0,1.0,0.7366250000000001,0.7559,0.12123232173530839,100.0,0.0,0.0
V6UZPS,Computer Music,2.0,1.0,0.7334499999999999,0.7334499999999999,0.08902474375138635,100.0,0.0,0.0
1JVZTM,Computer Music,1.0,1.0,0.7203,0.7203,,100.0,0.0,0.0
6759KU,Computer Music,4.0,1.0,0.6775,0.6925,0.22306202425932273,100.0,0.0,0.0
62U759,Computer Music,11.0,1.0,0.6757272727272728,0.7003,0.2015180542329103,100.0,0.0,0.0
WOGMXV,Computer Music,2.0,1.0,0.65665,0.65665,0.02793071785686861,100.0,0.0,0.0
Z01ABO,Computer Music,2.0,1.0,0.6259,0.6259,0.18667619023324855,100.0,0.0,0.0
2KDZ22,Computer Music,1.0,1.0,0.6124,0.6124,,100.0,0.0,0.0
